Date,Open,High,Low,Close,Adj Close,Volume
2017-05-18,83.169998,92.980003,81.000000,92.110001,92.110001,7979600
2017-05-19,90.599998,91.889999,87.500000,88.870003,88.870003,7890900
2017-05-22,89.940002,90.900002,88.610001,89.599998,89.599998,1796200
2017-05-23,90.860001,91.250000,89.629997,90.019997,90.019997,1991300
2017-05-24,90.190002,91.500000,90.070000,90.809998,90.809998,1243100
2017-05-25,91.349998,91.949997,89.349998,90.220001,90.220001,1495500
2017-05-26,90.260002,91.110001,90.000000,90.739998,90.739998,1099000
2017-05-30,91.099998,93.239998,89.690002,90.570000,90.570000,1970300
2017-05-31,90.879997,92.279999,88.919998,91.860001,91.860001,2488700
2017-06-01,92.489998,93.699997,90.540001,93.440002,93.440002,1831800
2017-06-02,93.699997,97.849998,93.449997,97.529999,97.529999,3166600
2017-06-05,98.349998,99.379997,96.110001,97.480003,97.480003,2128300
2017-06-06,96.959999,99.779999,96.370003,98.610001,98.610001,1948700
2017-06-07,98.900002,99.599998,96.510002,96.989998,96.989998,1835100
2017-06-08,97.279999,98.860001,95.639999,98.839996,98.839996,1401200
2017-06-09,98.699997,100.800003,89.309998,91.449997,91.449997,4656300
2017-06-12,90.010002,90.290001,82.510002,88.889999,88.889999,5244400
2017-06-13,87.389999,90.559998,84.475998,86.930000,86.930000,3955500
2017-06-14,87.470001,88.199997,84.430000,85.360001,85.360001,2123600
2017-06-15,81.900002,85.540001,81.550003,85.480003,85.480003,2896100
2017-06-16,86.959999,88.190002,85.680000,86.930000,86.930000,2499200
2017-06-19,88.279999,90.839996,87.790001,90.559998,90.559998,2183500
2017-06-20,91.110001,91.849998,88.610001,88.940002,88.940002,1548900
2017-06-21,89.239998,91.779999,89.199997,91.250000,91.250000,1497400
2017-06-22,91.320000,92.110001,90.269997,91.370003,91.370003,1013300
2017-06-23,91.040001,95.199997,90.500000,94.480003,94.480003,1462700
2017-06-26,95.110001,96.980003,90.269997,92.040001,92.040001,1953800
2017-06-27,91.239998,92.199997,86.800003,87.040001,87.040001,2175900
2017-06-28,87.830002,89.589996,85.510002,89.519997,89.519997,2048200
2017-06-29,88.970001,88.970001,83.160004,86.400002,86.400002,2720300
2017-06-30,85.860001,88.000000,85.639999,86.900002,86.900002,1697500
2017-07-03,87.150002,87.910004,84.800003,86.000000,86.000000,887200
2017-07-05,85.629997,89.470001,85.580002,88.110001,88.110001,1783800
2017-07-06,86.639999,87.830002,85.809998,86.209999,86.209999,1213000
2017-07-07,87.180000,89.230003,87.000000,88.989998,88.989998,1022200
2017-07-10,89.099998,91.480003,88.288002,90.989998,90.989998,1284400
2017-07-11,90.760002,92.570000,90.171997,91.290001,91.290001,1259700
2017-07-12,92.150002,95.169998,92.000000,94.680000,94.680000,1760100
2017-07-13,95.739998,96.800003,92.510002,93.019997,93.019997,1790000
2017-07-14,93.830002,93.889999,91.699997,92.410004,92.410004,1021700
2017-07-17,92.220001,93.300003,89.634003,90.489998,90.489998,1520600
2017-07-18,91.290001,93.903000,90.110001,93.180000,93.180000,1432400
2017-07-19,93.739998,94.500000,91.300003,91.900002,91.900002,1394300
2017-07-20,92.430000,92.830002,90.190002,90.870003,90.870003,961500
2017-07-21,90.449997,91.260002,89.330002,89.419998,89.419998,1400800
2017-07-24,89.870003,93.650002,89.489998,93.610001,93.610001,1466500
2017-07-25,93.559998,93.650002,90.699997,92.160004,92.160004,1197500
2017-07-26,92.949997,95.000000,92.849998,93.919998,93.919998,1163800
2017-07-27,94.699997,95.500000,88.639999,90.430000,90.430000,2221000
2017-07-28,89.550003,93.419998,88.291000,92.980003,92.980003,1414100
2017-07-31,93.669998,94.519997,91.360001,92.370003,92.370003,2497700
2017-08-01,103.919998,105.790001,98.599998,104.080002,104.080002,9672300
2017-08-02,104.500000,104.540001,97.290001,98.349998,98.349998,4507800
2017-08-03,99.500000,99.889999,96.559998,97.160004,97.160004,2285500
2017-08-04,97.320000,98.440002,96.029999,96.279999,96.279999,1479200
2017-08-07,96.449997,99.099998,96.430000,97.790001,97.790001,1077600
2017-08-08,97.930000,98.900002,96.000000,96.510002,96.510002,1467400
2017-08-09,95.180000,96.449997,94.209999,95.190002,95.190002,1750700
2017-08-10,94.480003,94.480003,88.209999,88.400002,88.400002,3396600
2017-08-11,88.510002,93.000000,88.500000,91.709999,91.709999,1951100
2017-08-14,93.290001,95.500000,93.250000,94.059998,94.059998,1680600
2017-08-15,94.260002,94.569000,92.769997,93.150002,93.150002,807100
2017-08-16,93.629997,94.870003,93.010002,94.610001,94.610001,750000
2017-08-17,94.389999,95.720001,93.470001,93.500000,93.500000,1398400
2017-08-18,93.570000,95.148003,93.021004,94.580002,94.580002,988600
2017-08-21,94.580002,96.470001,94.500000,96.269997,96.269997,1127500
2017-08-22,96.910004,98.910004,96.620003,98.610001,98.610001,1357700
2017-08-23,97.820000,102.800003,97.139999,102.459999,102.459999,2374300
2017-08-24,102.900002,106.900002,102.750000,106.529999,106.529999,3377800
2017-08-25,106.830002,107.000000,102.750000,103.739998,103.739998,1722800
2017-08-28,103.959999,104.930000,101.620003,103.790001,103.790001,1112400
2017-08-29,101.699997,105.000000,101.330002,104.370003,104.370003,1137200
2017-08-30,104.760002,108.769997,104.599998,108.440002,108.440002,1538500
2017-08-31,109.260002,111.570000,108.309998,110.919998,110.919998,1604300
2017-09-01,111.809998,112.000000,109.860001,110.860001,110.860001,1022200
2017-09-05,109.970001,112.000000,108.029999,110.669998,110.669998,1563200
2017-09-06,110.900002,111.940002,108.750000,110.220001,110.220001,1140300
2017-09-07,110.470001,113.529999,110.139999,113.459999,113.459999,1138500
2017-09-08,113.290001,114.879997,112.400002,113.610001,113.610001,924500
2017-09-11,115.440002,118.603996,114.900002,117.989998,117.989998,1428800
2017-09-12,118.940002,120.820000,116.879997,120.500000,120.500000,1770500
2017-09-13,120.529999,122.500000,117.930000,119.209999,119.209999,2006000
2017-09-14,119.330002,121.000000,116.610001,120.199997,120.199997,1066400
2017-09-15,120.019997,121.209999,119.375000,120.260002,120.260002,847900
2017-09-18,120.800003,123.940002,120.700996,122.419998,122.419998,1373900
2017-09-19,123.330002,123.879997,122.139999,122.940002,122.940002,785200
2017-09-20,122.820000,123.629997,117.400002,119.290001,119.290001,1828400
2017-09-21,118.860001,120.837997,116.260002,120.150002,120.150002,1290200
2017-09-22,119.669998,121.459999,118.529999,120.269997,120.269997,760100
2017-09-25,119.849998,119.879997,113.510002,114.470001,114.470001,2317000
2017-09-26,116.099998,117.709999,111.879997,113.379997,113.379997,1807000
2017-09-27,114.940002,118.690002,114.099998,117.400002,117.400002,1580000
2017-09-28,117.519997,117.680000,115.120003,116.449997,116.449997,889100
2017-09-29,116.610001,117.760002,115.300003,116.489998,116.489998,867100
2017-10-02,117.000000,119.669998,116.739998,119.000000,119.000000,1116700
2017-10-03,119.900002,120.690002,116.325996,116.809998,116.809998,1688300
2017-10-04,116.830002,116.930000,100.750000,103.300003,103.300003,20895900
2017-10-05,97.529999,103.430000,93.309998,100.430000,100.430000,19780700
2017-10-06,98.000000,100.199997,95.559998,97.919998,97.919998,7779700
2017-10-09,96.519997,98.489998,96.040001,97.379997,97.379997,2968000
2017-10-10,97.269997,99.000000,89.349998,92.570000,92.570000,11373200
2017-10-11,91.910004,96.669998,91.900002,95.019997,95.019997,6215000
2017-10-12,96.300003,97.300003,94.129997,94.360001,94.360001,3517200
2017-10-13,94.400002,95.237000,93.697998,94.220001,94.220001,1760500
2017-10-16,94.500000,97.211998,93.339996,96.980003,96.980003,2952400
2017-10-17,97.000000,97.510002,95.400002,96.209999,96.209999,2475400
2017-10-18,96.070000,99.699997,95.900002,98.930000,98.930000,2496400
2017-10-19,98.169998,98.500000,96.250000,98.250000,98.250000,1986000
2017-10-20,98.599998,102.500000,98.550003,102.099998,102.099998,3293000
2017-10-23,103.089996,104.139999,101.400002,102.910004,102.910004,2429200
2017-10-24,102.889999,107.480003,102.889999,106.410004,106.410004,2878200
2017-10-25,107.250000,108.529999,100.700996,102.989998,102.989998,4140500
2017-10-26,103.010002,105.500000,102.720001,104.110001,104.110001,1566800
2017-10-27,106.690002,108.000000,105.199997,107.269997,107.269997,2341800
2017-10-30,108.290001,109.449997,105.169998,109.360001,109.360001,3249700
2017-10-31,101.379997,104.809998,94.510002,99.489998,99.489998,12927100
2017-11-01,99.739998,100.500000,95.000000,96.199997,96.199997,5505100
2017-11-02,95.050003,100.809998,95.014999,99.889999,99.889999,2679900
2017-11-03,100.760002,101.904999,98.519997,98.709999,98.709999,1969600
2017-11-06,100.000000,100.800003,99.000000,99.839996,99.839996,1384300
2017-11-07,99.110001,100.480003,98.309998,99.709999,99.709999,1089400
2017-11-08,99.029999,99.989998,98.514999,99.400002,99.400002,862600
2017-11-09,98.370003,98.650002,95.550003,97.029999,97.029999,1680300
2017-11-10,96.790001,100.879997,96.508003,100.010002,100.010002,1754900
2017-11-13,99.019997,99.250000,97.769997,98.769997,98.769997,1046000
2017-11-14,97.559998,99.980003,97.480003,98.970001,98.970001,850600
2017-11-15,97.239998,99.419998,97.199997,98.040001,98.040001,922400
2017-11-16,98.660004,104.769997,98.519997,103.889999,103.889999,2765800
2017-11-17,104.120003,105.694000,103.233002,104.889999,104.889999,1230800
2017-11-20,105.000000,108.980003,104.889999,108.559998,108.559998,2098600
2017-11-21,110.029999,112.379997,109.650002,110.169998,110.169998,1905500
2017-11-22,110.500000,111.522003,107.559998,110.410004,110.410004,997000
2017-11-24,111.089996,112.629997,110.599998,111.809998,111.809998,649900
2017-11-27,114.510002,117.070000,113.195000,113.360001,113.360001,2331900
2017-11-28,114.059998,114.147003,110.510002,112.089996,112.089996,1392900
2017-11-29,111.610001,111.879997,100.589996,103.669998,103.669998,3830000
2017-11-30,105.610001,105.815002,103.150002,103.820000,103.820000,1160100
2017-12-01,103.900002,104.769997,100.099998,103.269997,103.269997,1415800
2017-12-04,105.269997,105.269997,96.190002,96.620003,96.620003,2740800
2017-12-05,96.677002,98.580002,92.410004,95.279999,95.279999,2454500
2017-12-06,94.900002,96.620003,93.820999,95.769997,95.769997,1404400
2017-12-07,96.519997,99.970001,96.108002,99.790001,99.790001,1599200
2017-12-08,102.120003,102.959999,99.870003,100.769997,100.769997,1315700
2017-12-11,101.290001,105.114998,101.290001,104.110001,104.110001,1393700
2017-12-12,101.500000,104.000000,100.500000,101.400002,101.400002,1083700
2017-12-13,101.879997,104.220001,101.860001,103.209999,103.209999,932900
2017-12-14,103.629997,104.650002,102.801003,103.230003,103.230003,617000
2017-12-15,103.629997,106.349998,102.800003,105.220001,105.220001,1246400
2017-12-18,106.410004,108.040001,106.339996,107.620003,107.620003,1254200
2017-12-19,107.629997,107.629997,105.610001,105.730003,105.730003,831100
2017-12-20,106.669998,106.839996,103.610001,105.239998,105.239998,640900
2017-12-21,105.779999,106.589996,104.559998,104.800003,104.800003,478200
2017-12-22,104.129997,104.550003,102.129997,103.860001,103.860001,590100
2017-12-26,102.410004,105.389999,101.550003,104.839996,104.839996,403700
2017-12-27,104.830002,105.199997,103.320000,104.500000,104.500000,478200
2017-12-28,104.790001,105.220001,101.589996,102.389999,102.389999,662600
2017-12-29,102.519997,102.550003,100.400002,101.000000,101.000000,775800
2018-01-02,101.589996,105.720001,101.019997,105.489998,105.489998,1394500
2018-01-03,106.360001,108.120003,106.169998,107.750000,107.750000,1162700
2018-01-04,108.330002,110.059998,107.209999,109.949997,109.949997,1161000
2018-01-05,110.550003,111.769997,109.019997,110.580002,110.580002,771000
2018-01-08,109.989998,112.690002,109.989998,112.349998,112.349998,748700
2018-01-09,112.349998,113.669998,109.730003,110.730003,110.730003,744100
2018-01-10,109.699997,111.459999,109.000000,111.000000,111.000000,667800
2018-01-11,111.070000,111.750000,110.500000,111.129997,111.129997,639500
